,Artist Name,Track Name,ms Played,Listen Count,Key,Tempo,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Valence,Liked
53,The Dead Deads,Ghosts,213053,31,1,127.852,0.565,0.598,-5.35,0.052,0.000125,0.0778,0.534,True
54,Blood Command,Ritual Knife,108669,8,2,109.859,0.472,0.829,-4.719,0.0402,1.2e-05,0.333,0.211,False
55,Foals,Spanish Sahara,327220,65,9,128.432,0.366,0.57,-10.042,0.0698,0.0283,0.108,0.36,True
56,Mirah,Special Death,304739,4,2,108.489,0.438,0.181,-11.801,0.0319,0.482,0.198,0.419,False
57,RedHook,Fake,181270,7,1,120.055,0.607,0.962,-3.072,0.0575,0.00124,0.139,0.795,False
58,The Animal In Me,GUY,233863,43,9,110.002,0.524,0.956,-4.267,0.0545,0.000121,0.129,0.125,True
59,The Animal In Me,Choke,2229,94,4,140.004,0.469,0.947,-4.697,0.0446,9.92e-05,0.236,0.481,True
60,The Animal In Me,Bury a Friend,193848,39,4,120.128,0.385,0.897,-5.734,0.0781,0.000561,0.0979,0.174,True
61,Lily Kershaw,Better,185186,40,4,132.196,0.506,0.261,-12.136,0.0327,0.91,0.0564,0.239,False
62,The Veer Union,Nightmare,235479,19,5,145.942,0.433,0.909,-4.175,0.091,1.89e-05,0.118,0.501,False
63,PVRIS,Ghosts,220133,104,10,143.006,0.571,0.885,-5.937,0.0348,0.0125,0.0704,0.661,True
64,Los Prisioneros,Tren Al Sur,122601,3,9,180.503,0.585,0.624,-8.966,0.0746,0.00418,0.0765,0.728,False
65,First to Eleven,Out of Time,213374,30,10,160.035,0.443,0.87,-7.463,0.131,0.0003,0.331,0.309,True
66,Fight The Fade,Cool Kids,81706,14,5,129.998,0.532,0.874,-4.325,0.0459,0.00327,0.0932,0.373,False
67,Thousand Foot Krutch,Fly On the Wall,242772,1,4,120.027,0.61,0.663,-5.871,0.0322,0.00235,0.269,0.33,False
68,Seether,Fine Again,243640,91,6,175.543,0.442,0.855,-2.985,0.0288,0.00049,0.273,0.363,False
69,8 Graves,Guillotine,150735,4,4,90.027,0.7,0.548,-7.272,0.029,0.0281,0.264,0.463,False
70,Cold War Kids,First,200360,11,2,78.009,0.468,0.692,-4.015,0.0295,0.0202,0.523,0.561,False
71,Of Monsters and Men,Crystals,243520,6,0,132.195,0.581,0.747,-7.207,0.0303,0.00202,0.109,0.325,False
72,Echosmith,Hungry,201923,81,7,122.904,0.424,0.507,-6.024,0.0339,0.185,0.11,0.116,True
73,Seas on the Moon,Bugs - Extended,330261,17,4,133.303,0.311,0.87,-5.322,0.0418,0.000962,0.453,0.285,True
74,In This Moment,The Fighter,292506,93,9,141.877,0.435,0.743,-5.804,0.0792,0.107,0.115,0.28,True
75,Toothgrinder,HVY,430962,39,7,92.484,0.546,0.942,-4.828,0.0508,0.00443,0.317,0.583,True
76,Beartooth,In Between,213576,170,7,128.092,0.462,0.972,-2.642,0.138,0.00285,0.666,0.449,True
77,Modest Mouse,Float On,208466,116,6,100.975,0.649,0.888,-4.807,0.0293,0.013,0.0888,0.553,True
78,Fleurie,Out of the Blue,243986,2,2,96.02,0.581,0.106,-14.036,0.0348,0.94,0.102,0.177,False
79,Chad Tepper,I Wanna Be Your High,187522,3,6,159.992,0.509,0.901,-5.723,0.0606,0.0683,0.277,0.746,False
80,Sky Ferreira,Easy - Music From The Motion Picture Baby Driver,267573,51,9,132.034,0.6,0.274,-10.695,0.03,0.267,0.106,0.246,False
81,Happy Hour,Twenty-Six,278674,47,5,142.916,0.491,0.814,-4.364,0.0658,0.00828,0.0542,0.367,True
82,First to Eleven,I Don't Want to Live Forever,224125,28,0,120.021,0.657,0.808,-4.75,0.031,0.0514,0.304,0.617,False
83,Our Last Night,Skyfall,249411,70,4,76.543,0.356,0.925,-2.193,0.077,0.00755,0.105,0.323,True
84,Pop Evil,Let The Chaos Reign,3600,6,9,107.975,0.489,0.948,-3.974,0.0456,3.26e-05,0.139,0.549,False
85,Camila Cabello,Havana (feat. Young Thug),217306,65,2,104.988,0.765,0.523,-4.333,0.03,0.184,0.132,0.394,False
86,t.A.T.u.,How Soon Is Now?,194840,14,7,100.451,0.673,0.644,-7.333,0.0557,0.0927,0.0777,0.59,False
87,Palisades,Fall,218855,95,6,145.048,0.516,0.941,-4.371,0.0529,0.00216,0.407,0.549,False
88,First to Eleven,Poker Face,205920,52,8,124.969,0.569,0.94,-5.134,0.0405,0.00604,0.136,0.842,False
89,Christina Perri,burning gold,223813,31,4,99.154,0.565,0.673,-5.851,0.0269,0.0175,0.11,0.213,False
90,Red Hot Chili Peppers,Otherside,255373,14,0,123.229,0.458,0.795,-3.265,0.0574,0.00316,0.0756,0.513,False
91,Evans Blue,Destroy The Obvious,228328,110,2,95.006,0.447,0.941,-3.832,0.0492,0.00019,0.315,0.319,True
92,September Mourning,Unholy,200953,9,1,165.022,0.465,0.934,-4.108,0.147,0.00267,0.123,0.472,False
93,Rezz,Sacrificial,174876,136,7,164.952,0.552,0.564,-5.941,0.0415,0.0686,0.34,0.321,True
94,Fifth Dawn,Cities Are Lost,214214,21,1,92.427,0.418,0.901,-4.083,0.0356,1.38e-05,0.336,0.173,False
95,Echo & the Bunnymen,The Killing Moon,346280,41,7,124.216,0.522,0.85,-4.769,0.0361,0.132,0.295,0.71,True
96,BROODS,Superstar,125199,16,6,100.025,0.53,0.648,-4.693,0.0275,0.0959,0.0853,0.266,False
97,Turbowolf,Rabbits Foot,164200,24,2,118.042,0.577,0.901,-3.967,0.0878,0.0139,0.104,0.554,True
98,Nirvana,Heart-Shaped Box,281160,102,1,203.006,0.256,0.641,-10.283,0.0552,0.199,0.0853,0.382,False
99,Collective Soul,The World I Know,1720,12,2,76.975,0.514,0.704,-4.724,0.0261,0.0515,0.228,0.386,False
100,Saint Agnes,Vampire,187674,51,3,155.876,0.436,0.948,-2.688,0.121,0.00259,0.52,0.456,True
101,Dunderbeist,La Guerre Du Feu - Lord of the Flames,260629,1,1,92.763,0.128,0.898,-5.072,0.0698,0.00038,0.106,0.0756,False
102,Avril Lavigne,When You're Gone,240047,6,4,142.034,0.457,0.719,-3.921,0.0323,0.191,0.228,0.168,False
103,Thousand Below,Chemical,230596,11,5,133.984,0.489,0.871,-5.075,0.0564,0.0001,0.196,0.406,False
104,Twin Wild,Willow Tree,398826,38,8,95.015,0.457,0.887,-4.138,0.0533,0.000186,0.11,0.221,False
105,Breaking Benjamin,The Diary of Jane - Single Version,200546,98,10,167.024,0.392,0.964,-4.441,0.0644,7.13e-05,0.106,0.269,False
106,Haken,A Cell Divides,297293,30,3,139.727,0.309,0.737,-6.234,0.0406,0.00798,0.288,0.321,True
107,Puscifer,Green Valley,234826,3,10,84.985,0.485,0.6,-6.805,0.067,0.663,0.274,0.0365,False
108,Violet Orlandi,The Devil Only Walks Backwards,176613,1,1,89.998,0.679,0.471,-10.495,0.0436,0.2,0.176,0.719,False
109,Pagan,Church of the Black Wash,198586,6,3,76.032,0.34,0.976,-3.536,0.0533,2.29e-05,0.0666,0.485,False
110,Audioslave,Be Yourself,278973,37,11,116.602,0.423,0.845,-3.509,0.0559,0.143,0.213,0.317,False
111,Nirvana,The Man Who Sold The World,260946,36,1,115.102,0.483,0.753,-8.937,0.0832,0.425,0.257,0.42,False
112,VUKOVI,Prey,233318,80,7,169.948,0.356,0.934,-2.885,0.118,0.00498,0.0785,0.221,True
113,VUKOVI,Behave,189391,105,7,115.125,0.474,0.844,-6.448,0.0687,2.47e-05,0.39,0.397,True
114,The Used,The Taste of Ink,208693,8,7,98.122,0.541,0.904,-3.001,0.0435,0.00143,0.193,0.541,False
115,Filter,"Hey Man, Nice Shot - Remastered Version",314440,55,2,177.014,0.479,0.588,-10.773,0.0339,0.00214,0.319,0.305,False
116,Brick + Mortar,Keep This Place Beautiful,244520,63,2,143.94,0.44,0.834,-4.071,0.0326,0.00166,0.294,0.28,True
117,The Airborne Toxic Event,All I Ever Wanted,0,74,0,165.02,0.354,0.836,-3.888,0.0497,0.00382,0.19,0.235,True
118,Nicki Minaj,Starships,211746,51,11,125.015,0.737,0.645,-3.938,0.083,0.145,0.148,0.775,False
119,Single Gun Theory,From A Million Miles,274426,47,0,113.924,0.521,0.579,-12.658,0.0412,0.0275,0.243,0.726,False
120,Beck,Loser,235000,76,2,85.387,0.654,0.611,-10.45,0.119,0.0337,0.405,0.786,False
121,David Guetta,Flames,195000,21,5,93.958,0.609,0.726,-4.346,0.0414,0.0723,0.0895,0.362,True
122,Ivy & Gold,Smoke & Mirrors,229137,1,6,85.424,0.261,0.625,-7.823,0.065,0.246,0.104,0.199,False
123,Young the Giant,Cough Syrup,249520,19,11,128.978,0.534,0.721,-7.307,0.0417,0.0343,0.115,0.225,False
124,Halocene,Carol of the Bells,370776,26,4,161.013,0.582,0.857,-5.465,0.0938,0.455,0.109,0.612,True
125,Alice In Chains,Man in the Box,284426,85,8,106.392,0.355,0.791,-7.565,0.0453,0.00045,0.0969,0.758,False
126,The Dangerous Summer,Fuck Them All,196800,30,2,100.017,0.539,0.887,-6.935,0.037,0.0161,0.267,0.448,True
127,Nerv,Hopeless,189303,2,4,83.101,0.266,0.762,-5.97,0.0536,0.0343,0.14,0.177,False
128,Alessia Cara,7 Days,208544,1,9,79.157,0.503,0.697,-4.888,0.188,0.214,0.165,0.798,False
129,Gemini,Fire Inside,236407,34,4,127.971,0.559,0.827,-4.781,0.144,0.00435,0.0886,0.15,False
130,Linkin Park,Somewhere I Belong,213743,64,1,162.065,0.451,0.951,-3.754,0.0645,0.00038,0.261,0.442,False
131,TOOL,The Pot,381946,23,7,107.45,0.469,0.79,-6.889,0.0391,0.000148,0.282,0.466,False
132,Mud Flow,The Sense of Me,152506,23,2,76.024,0.395,0.567,-8.545,0.0319,0.00112,0.204,0.114,True
133,A Skylit Drive,Wires And The Concept Of Breathing,150626,3,10,164.805,0.265,0.965,-3.338,0.134,0.00331,0.373,0.405,False
134,Stitched Up Heart,My Demon,189773,22,6,156.936,0.473,0.927,-2.348,0.187,0.00415,0.384,0.352,False
135,Twin Wild,Bad Shivers,215139,73,0,144.004,0.442,0.794,-5.631,0.0434,0.0153,0.338,0.541,True
136,Airbag,Colours,487360,35,9,129.723,0.258,0.327,-11.154,0.0315,0.177,0.0803,0.0927,True
137,The Animal In Me,Oops!... I Did It Again,196630,49,5,95.049,0.523,0.876,-4.163,0.0482,0.000522,0.0527,0.343,True
138,Benn,Eyes on The King,338786,3,0,138.974,0.219,0.681,-8.867,0.0359,0.000514,0.373,0.252,False
139,Silversun Pickups,Panic Switch,343906,89,5,198.556,0.163,0.885,-4.623,0.0725,0.000202,0.228,0.549,False
140,Avery,Can't Feel My Face,158511,27,9,100.004,0.747,0.759,-6.609,0.117,0.782,0.179,0.42,True
141,Echosmith,Bright,220626,6,6,90.034,0.646,0.431,-8.517,0.0262,0.637,0.113,0.292,False
142,Highly Suspect,Little One,241533,201,7,139.827,0.474,0.351,-7.533,0.0292,0.0122,0.112,0.104,True
143,The Mayan Factor,Warflower,292490,3,7,93.854,0.558,0.752,-6.819,0.0279,0.00226,0.0671,0.4,False
144,Ice Nine Kills,A Grave Mistake,184226,123,6,175.088,0.36,0.925,-3.775,0.0719,0.000838,0.115,0.446,False
145,Dreamhouse,Tie Me Down,188977,42,9,169.906,0.395,0.911,-3.018,0.0859,0.000279,0.0835,0.475,True
146,Tiny Ruins,Wandering Aengus,293263,1,7,73.738,0.396,0.405,-11.823,0.0315,0.637,0.111,0.329,False
147,Halestorm,Bad Romance,248400,17,1,124.061,0.545,0.927,-4.736,0.0706,0.0128,0.367,0.682,False
148,Middle Class Rut,No Sale,202280,15,5,87.067,0.483,0.787,-5.49,0.0328,0.000158,0.317,0.283,True
149,R.A. The Rugged Man,Angelic Boy,254413,1,9,79.798,0.506,0.752,-7.179,0.325,0.253,0.13,0.359,False
150,Ad Infinitum,This Is Halloween,194640,4,10,84.027,0.51,0.896,-7.743,0.0509,0.000654,0.208,0.602,False
151,Deftones,Change (In the House of Flies),299533,135,7,141.581,0.269,0.853,-4.647,0.0854,0.000249,0.118,0.179,False
152,VUKOVI,SLO,229393,53,8,107.024,0.374,0.769,-4.691,0.0556,0.00024,0.248,0.37,False
153,tiLLie,flip a switch,152178,1,11,162.015,0.531,0.671,-6.621,0.0658,0.00677,0.218,0.398,False
154,Highly Suspect,Natural Born Killer,196135,5,0,194.876,0.202,0.742,-5.29,0.124,0.00169,0.128,0.155,False
155,Alessia Cara,Scars To Your Beautiful,230226,64,0,97.085,0.573,0.739,-5.74,0.129,0.0285,0.111,0.451,False
156,Grazy Grace,Planet,207751,1,6,139.036,0.475,0.697,-5.862,0.0392,0.576,0.0783,0.163,False
157,Myrkur,Ella,222914,26,5,101.673,0.24,0.313,-11.476,0.033,0.791,0.176,0.131,True
158,Shaman's Harvest,In Chains,249146,52,11,142.145,0.464,0.728,-5.127,0.0372,0.00334,0.218,0.26,False
159,VUKOVI,Run/Hide,204840,39,5,130.027,0.521,0.825,-4.836,0.0441,0.000786,0.312,0.605,True
160,The Presidents Of The United States Of America,Lump,129585,101,6,142.726,0.499,0.873,-3.902,0.0386,0.00468,0.165,0.864,False
161,Neon Trees,Everybody Talks,177280,58,8,154.961,0.471,0.924,-3.906,0.0586,0.00301,0.313,0.725,False
162,Gabbie Hanna,Honestly,175000,11,1,159.888,0.664,0.543,-8.067,0.209,0.011,0.078,0.468,False
163,Sonic Syndicate,Enclave,61322,39,0,120.01,0.501,0.954,-4.679,0.0569,0.00283,0.104,0.282,True
164,Fuel,Shimmer,1370,100,7,114.671,0.263,0.784,-6.514,0.054,0.00192,0.15,0.385,True
165,Asking Alexandria,Alone In A Room,245861,124,4,135.071,0.482,0.946,-3.23,0.0852,0.00251,0.0466,0.284,True
166,The Goo Goo Dolls,Iris,133076,86,11,155.925,0.315,0.715,-8.072,0.0362,0.00125,0.0942,0.497,False
167,fun.,All the Pretty Girls,202893,60,0,131.036,0.646,0.787,-4.654,0.0601,0.258,0.199,0.774,False
168,Cryoshell,Creeping in My Soul,277040,33,4,94.088,0.484,0.879,-5.139,0.0555,0.0119,0.114,0.116,True
169,Lorde,Liability,73528,35,10,75.67,0.587,0.229,-11.254,0.128,0.92,0.1,0.379,True
170,Fleetwood Mac,Go Your Own Way - 2004 Remaster,110658,5,5,135.448,0.586,0.941,-5.139,0.0375,0.0167,0.068,0.831,False
171,Finger Eleven,One Thing,279573,11,1,151.991,0.588,0.555,-9.401,0.0334,0.447,0.0806,0.445,False
172,Memphis May Fire,Grenade,221586,7,1,125.011,0.471,0.947,-4.36,0.0751,0.00861,0.128,0.434,False
173,Fitz and The Tantrums,Let Me Love You - Recorded at Spotify Studios NYC,221361,19,2,97.444,0.57,0.363,-6.606,0.0493,0.806,0.102,0.359,False
174,P.O.D.,Youth of the Nation,256240,63,8,97.867,0.563,0.86,-7.533,0.0621,0.00834,0.39,0.517,False
175,Cage The Elephant,Come a Little Closer,229346,94,1,148.038,0.44,0.778,-1.786,0.0327,0.0265,0.151,0.304,False
176,Adelitas Way,Bad Reputation,182288,90,2,125.022,0.558,0.776,-5.858,0.0454,3.9e-05,0.176,0.619,True
177,Devil Electric,Acidic Fire,307211,2,2,141.469,0.281,0.781,-7.457,0.0405,5.41e-05,0.13,0.296,False
178,Run River North,Shiver,260920,50,4,75.082,0.386,0.277,-11.192,0.0316,0.694,0.0944,0.16,False
179,cleopatrick,hometown,512139,46,7,139.161,0.315,0.826,-4.314,0.0636,0.00064,0.0703,0.359,True
180,The Evil Exes,Black Sheep (From Scott Pilgrim vs. the World),205423,74,11,123.96,0.565,0.67,-5.834,0.0331,0.000143,0.0612,0.41,True
181,Gary Clark Jr.,Come Together,193714,1,2,80.04,0.447,0.788,-4.994,0.0464,0.00257,0.0744,0.505,False
182,The Animal In Me,I Knew You Were Trouble,230653,113,11,77.012,0.453,0.941,-2.881,0.103,0.0074,0.0204,0.417,True
183,Lauren Babic,Smokahontas,132175,4,4,135.039,0.564,0.928,-4.41,0.0564,2.45e-05,0.0703,0.495,False
184,Judah & the Lion,Take It All Back 2.0,0,11,0,148.023,0.441,0.802,-6.411,0.0305,0.0104,0.123,0.783,False
185,No name faces,Nobody´s Property,243857,2,4,140.085,0.553,0.89,-6.683,0.0624,0.000452,0.0837,0.677,False
186,Oasis,Champagne Supernova,450506,5,2,150.381,0.303,0.853,-2.26,0.0366,0.223,0.361,0.119,False
187,Silversun Pickups,Nightlight,292293,77,11,125.992,0.6,0.865,-5.63,0.0393,0.104,0.116,0.401,True
188,Lewis Del Mar,14 Faces,217600,61,5,143.366,0.428,0.82,-5.504,0.0803,0.32,0.379,0.269,True
189,Alicia Keys,Empire State of Mind (Part II) Broken Down,216480,1,6,92.923,0.484,0.368,-7.784,0.0341,0.74,0.118,0.142,False
190,VUKOVI,Colour Me In,240096,110,1,102.03,0.46,0.898,-4.281,0.0661,0.136,0.0835,0.256,True
191,Green Day,When I Come Around,178000,59,11,97.546,0.531,0.909,-4.236,0.034,0.0175,0.231,0.814,False
192,Gary Clark Jr.,Third Stone from the Sun / If You Love Me Like You Say,8390,5,4,86.6,0.392,0.851,-3.486,0.0841,0.00519,0.139,0.246,False
193,Gardiner Sisters,Best Part,170494,5,10,139.784,0.425,0.161,-9.138,0.0325,0.936,0.123,0.489,False
194,Nirvana,Jesus Doesn't Want Me For A Sunbeam,91649,3,8,113.646,0.51,0.641,-10.312,0.0812,0.0638,0.272,0.295,False
195,Letdown.,Spotlight,238909,35,2,82.312,0.459,0.718,-4.147,0.0382,0.0314,0.0913,0.37,True
196,Nirvana,In Bloom,255080,72,10,157.044,0.436,0.876,-4.902,0.0647,3.33e-05,0.205,0.512,False
197,Meg Myers,Desire,284333,187,7,131.91,0.617,0.609,-5.345,0.0274,0.00468,0.109,0.173,True
198,Arch Enemy,Handshake with Hell,338960,4,10,102.424,0.24,0.961,-7.592,0.123,3.63e-05,0.164,0.0576,False
199,Diamond Rio,Meet In the Middle,198333,1,4,91.11,0.746,0.443,-11.305,0.0359,0.663,0.223,0.554,False
200,Jane's Addiction,Been Caught Stealing,214706,56,0,103.758,0.639,0.929,-4.762,0.212,0.00326,0.242,0.688,False
201,t.A.T.u.,All The Things She Said,214440,100,5,89.957,0.603,0.834,-5.766,0.0417,0.0411,0.105,0.376,True
202,Marcy Playground,Sex & Candy,1730,79,2,80.511,0.67,0.558,-9.159,0.0251,0.238,0.106,0.63,False
203,Pearl Jam,Yellow Ledbetter,303586,8,4,140.87,0.504,0.354,-11.3,0.0339,0.29,0.157,0.292,False
204,Fuel,Leave the Memories Alone,237920,3,2,124.248,0.287,0.912,-4.673,0.0689,0.00101,0.0688,0.431,False
205,Marshmello,Rescue Me,237203,3,11,148.149,0.433,0.905,-2.171,0.101,0.00803,0.337,0.375,False
206,The Presidents Of The United States Of America,Kitty,203133,6,1,92.126,0.498,0.801,-5.919,0.254,0.0799,0.051,0.55,False
207,Kalidia,In Black and White - New Version 2021,249230,37,4,81.985,0.399,0.941,-6.495,0.0602,0.000388,0.0982,0.429,True
208,Ariana Grande,west side,132278,2,11,87.865,0.688,0.455,-8.632,0.199,0.186,0.0794,0.557,False
209,The Pretty Reckless,25,326893,30,2,153.955,0.459,0.654,-5.222,0.0329,0.232,0.144,0.213,True
210,The Offspring,Gone Away - 1997,40995,49,3,111.342,0.45,0.945,-3.995,0.0806,0.012,0.0683,0.294,False
211,WARGASM (UK),Spit.,248000,49,1,129.94,0.511,0.728,-9.267,0.079,0.000293,0.186,0.16,True
212,Acoustic Heartstrings,"How Far I'll Go (From ""Moana"")",171891,2,4,147.979,0.678,0.221,-19.968,0.0364,0.855,0.0701,0.324,False
213,Mirror Lake,Losing My Religion,266875,29,9,120.05,0.444,0.874,-4.745,0.0593,0.00166,0.56,0.248,True
214,Chris Cornell,Nearly Forgot My Broken Heart,234426,109,0,119.522,0.593,0.781,-5.472,0.0285,0.0944,0.173,0.657,True
215,flora cash,You're Somebody Else,218883,59,1,102.972,0.713,0.451,-9.64,0.0294,0.844,0.105,0.238,True
216,Alec Benjamin,Let Me Down Slowly (feat. Alessia Cara),167056,12,1,150.267,0.655,0.569,-5.018,0.0349,0.716,0.135,0.44,False
217,Lusaint,Everywhere - Acoustic,168207,1,0,179.678,0.496,0.257,-12.02,0.0393,0.886,0.124,0.399,False
218,Highly Suspect,Canals,273898,13,7,159.723,0.37,0.924,-2.283,0.0846,0.0077,0.183,0.282,False
219,The Cab,Temporary Bliss,224226,11,5,154.113,0.455,0.908,-4.414,0.101,0.00234,0.0772,0.697,False
220,The Rasmus,Livin' in a World Without You,230213,30,4,100.972,0.591,0.883,-5.051,0.0416,0.0066,0.467,0.429,True
221,Travis Atreo,Should Have Been Us,198549,6,0,85.93,0.695,0.359,-7.676,0.0535,0.849,0.102,0.389,False
222,Spin Doctors,Two Princes,0,60,7,103.594,0.544,0.905,-10.732,0.0646,0.00165,0.0532,0.825,False
223,Anna Calvi,"The Heart Of You - From The ""Insurgent"" Soundtrack",147555,4,6,137.544,0.361,0.775,-6.608,0.0603,0.0538,0.0906,0.148,False
